region,orig_mb_mwea,orig_mb_err_mwea,orig_mb_gta,orig_mb_err_gta,new_mb_mwea,new_mb_err_mwea,new_mb_gta,new_mb_err_gta
East Himalaya,-0.42,0.33,-1.00,0.80,-0.42,0.20,-1.00,0.50
Central Himalaya,-0.33,0.32,-1.60,1.50,-0.33,0.20,-1.60,1.00
Hindu Kush,-0.12,0.14,-0.60,0.70,-0.12,0.07,-0.60,0.40
Inner TP,-0.14,0.14,-1.80,1.80,-0.14,0.07,-1.80,0.90
Karakoram,-0.03,0.14,-0.50,2.50,-0.03,0.07,-0.50,1.20
Kunlun,0.14,0.14,1.40,1.40,0.14,0.08,1.40,0.80
Nyainqentanglha,-0.62,0.35,-4.00,2.20,-0.62,0.23,-4.00,1.50
Pamir Alay,-0.04,0.14,-0.10,0.30,-0.04,0.07,-0.10,0.10
Pamir,-0.08,0.14,-0.60,1.00,-0.08,0.07,-0.60,0.50
Spiti Lahaul,-0.37,0.15,-2.90,1.20,-0.37,0.09,-2.90,0.70
Tien Shan,-0.28,0.32,-3.00,3.50,-0.28,0.20,-3.00,2.20
West Himalaya,-0.34,0.15,-1.60,0.70,-0.34,0.09,-1.60,0.40
